nome;cep
Rua Nove;96222176
Rua Oito (Sto Antônio);96222564
Rua Onze;96222205
Rua Poetisa Lila Ripoll (Vl Nova);96222125
Rua Quarenta (Abel Cravo);96222709
Rua Quarenta e Dois (Vl Troca);96222832
Rua Quatorze (Vl Nova);96222122
Rua Quatro (Quintinha);96222650
Rua Quatro (Sto Antônio);96222574
Rua Quinze (Vl Nova);96222128
Rua Seis (Quintinha);96222654
Rua Seis (Sto Antônio);96222570
Rua Sete (Quintinha);96222656
Rua Sete (Sto Antônio);96222568
Rua Trajano Lopes;96222164
Rua Trajano Lopes;96222796
Rua Três (Quintinha);96222646
Rua Três (Sto Antônio);96222576
Rua Treze;96222146
Rua Trinta;96222210
Rua Trinta e Cinco (Vl Nova);96222119
Rua Trinta e Dois;96222140
Rua Trinta e Nove (Abel Cravo);96222721
Rua Trinta e Oito (Abel Cravo);96222724
Rua Trinta e Quatro (Vl Nova);96222134
Rua Trinta e Seis (Abel Cravo);96222730
Rua Trinta e Sete (Abel Cravo);96222727
Rua Trinta e Um;96222143
Rua Um (Sto Antônio);96222560
Rua Vinte e Dois (Abel Cravo);96222715
Rua Vinte e Sete (Vl Troca);96222824
Rua Vinte e Três (Abel Cravo);96222718
Rua Vinte e Três (Lot Engenho);96222780
Rua Vinte e Um (Abel Cravo);96222712
Rua Virgílio Porciuncula;96222173
Travessa Vinte e Dois (Lot Engenho);96222792
Travessa Vinte e Nove (Sto Antônio);96222566
Travessa Vinte e Três (Lot Engenho);96222784
Banhado do Silveira;96222899
Estrada Roberto Socoowski;96213564
Rua Cento e Cinco (Vl Maria dos Anjos);96213570
Rua Cento e Sete (Vl Maria dos Anjos);96213580
Rua Cinco (Profilurb II);96213490
Rua Dez (Profilurb II);96213550
Rua Dois (Profilurb II);96213554
Rua Doze (Profilurb II);96213560
Rua G dos Aviários (Vl Maria dos Anjos);96213572
Rua H dos Aviários (Vl Maria dos Anjos);96213576
Rua Nove (Profilurb II);96213530
Rua Oito (Profilurb II);96213520
Rua Onze (Profilurb II);96213540
Rua Quatro (Profilurb II);96213480
Rua Seis (Profilurb II);96213500
Rua Sete (Profilurb II);96213510
Rua Três (Profilurb II);96213470
Rua Um (Profilurb II);96213460
Avenida Presidente Vargas;96202336
Avenida Primeiro de Maio;96202332
Avenida Primeiro de Maio;96202313
Avenida Rheingantz;96202364
Rua América;96202310
Rua Dois de Novembro;96202360
